series_id,year,value
PRS88003021,2010,6.4
PRS88003022,2010,7.7
PRS88003023,1997,517.82
PRS88003031,2021,26.1
PRS88003032,2021,27.2
PRS88003033,2025,528.84
PRS88003041,2021,49.4
PRS88003042,2021,39.0
PRS88003043,2025,626.18
PRS88003051,2021,76.1
PRS88003052,2021,73.4
PRS88003053,2025,798.91
PRS88003061,2021,51.5
PRS88003062,2021,53.5
PRS88003063,2025,772.47
PRS88003081,2021,114.7
PRS88003082,2021,104.0
PRS88003083,2025,836.34
PRS88003091,2021,22.3
PRS88003092,2002,24.6
PRS88003093,2025,592.03
PRS88003101,2020,39.5
PRS88003102,2020,46.2
PRS88003103,2025,730.35
PRS88003111,2022,23.2
PRS88003112,2020,21.0
PRS88003113,2025,616.82
PRS88003121,2022,76.1
PRS88003122,2022,60.1
PRS88003123,2025,578.66
PRS88003131,2021,58.7
PRS88003132,2021,60.1
PRS88003133,2025,667.71
PRS88003141,2022,37.1
PRS88003142,2021,32.0
PRS88003143,2025,637.88
PRS88003151,2020,32.5
PRS88003152,2020,40.9
PRS88003153,2025,553.93
PRS88003161,2010,27.3
PRS88003162,2020,26.2
PRS88003163,2025,579.92
PRS88003171,2020,15.3
PRS88003172,2020,14.0
PRS88003173,2001,558.62
PRS88003181,2021,217.2
PRS88003182,2020,320.5
PRS88003183,2025,1081.68
PRS88003191,2010,153.0
PRS88003192,2002,282.8
PRS88003193,2025,863.63
PRS88003201,2022,38.9
PRS88003202,2022,29.7
PRS88003203,2025,604.35
